name-original-cap,name,alternative-fr,alternative-nl,alternative-de,alternative-en,alternative-wp,country-code,longitude,latitude,avg_stop_times,official_transfer_time
Diksmuide,diksmuide,dixmude,,,,,be,2.868943,51.032723,37.282123,60
Dilbeek,dilbeek,,,,,,be,4.243393,50.866728,59.201117,300
Dinant,dinant,,,,,,be,4.908182,50.260721,63.689944,240
Dolhain-Gileppe,dolhain-gileppe,,,,,,be,5.936494,50.616244,71.49162,300
Dommeldange,dommeldange,,,,,,lu,6.13668,49.633838,2.053073,300
Dordrecht,dordrecht,,,,,,nl,4.666668,51.799998,0,
Dortmund Hbf,dortmund hbf,,,,,,de,7.459293,51.517898,0,
Drauffelt,drauffelt,,,,,,lu,6.006106,50.017778,20.061453,300
Drongen,drongen,tronchiennes,,,,,be,3.655202,51.047295,185.069832,300
Duesseldorf Hbf,duesseldorf hbf,dusseldorf hbf,dusseldorf hbf,dusseldorf hbf,dusseldorf hbf,,de,6.795297,51.219178,0,
Duffel,duffel,,,,,,be,4.493186,51.091243,279.243017,300
Duinbergen,duinbergen,,,,,,be,3.263587,51.338195,38.50838,300
Duisburg Hbf,duisburg hbf,,,,,,de,6.7759037,51.42978,0,
Düsseldorf Flughafen Hbf,dusseldorf flughafen hbf,,,,,,de,6.786837,51.292008,0,
Ebbsfleet International,ebbsfleet international,,,,,,gb,0.32107,51.44304,0,
Ede,ede,,,,,,be,3.987524,50.911054,71.100559,300
Eeklo,eeklo,,,,,,be,3.574515,51.181333,32.100559,300
Eichem,eichem,,,,,,be,3.993745,50.823994,46.790503,300
Eijsden,eijsden,,,,,,nl,5.709786,50.772135,52.407821,300
Eine,eine,,,,,,be,3.623776,50.870432,37.360335,300
Eke-Nazareth,eke-nazareth,,,,,,be,3.627839,50.960774,37.360335,300
Ekeren,ekeren,,,,,,be,4.434154,51.281626,81.234637,300
Enghien,enghien,,edingen,enghien / edingen,edingen / enghien,,be,4.047357,50.697273,137.659218,300
Engis,engis,,,,,,be,5.401986,50.582957,89.198324,300
Eppegem,eppegem,,,,,,be,4.45749,50.9584,274.553073,300
Erbisœul,erbisoeul,erbisoeul,erbisoeul,erbisoeul,erbisoeul,,be,3.887987,50.507025,103.26257,300
Erembodegem,erembodegem,,,,,,be,4.055447,50.919621,158.175978,300
Ernage,ernage,,,,,,be,4.668538,50.590823,130.452514,300
Erpe-Mere,erpe-mere,,,,,,be,3.962463,50.928601,7.938547,300
Erps-Kwerps,erps-kwerps,,,,,,be,4.585001,50.89651,328.273743,300
Erquelinnes,erquelinnes,,,,,,be,4.113562,50.304192,33.346369,300
Erquelinnes-Frontière,erquelinnes-frontiere,,,,,,be,4.107929,50.30233,5.877095,120
Erquelinnes-Village,erquelinnes-village,,,,,,be,4.132314,50.310179,33.346369,300
Esneux,esneux,,,,,,be,5.572565,50.530568,52.740223,300
Essen,essen,,,,,,be,4.451314,51.462767,82.608939,240
Essen Hbf,essen hbf,,,,,,de,7.01442718505859,51.4514261972777,0,
Essen-Grens,essen-grens,,,,,,be,4.44893,51.46909,49.26257,120
Essene-Lombeek,essene-lombeek,,,,,,be,4.115171,50.882451,59.201117,300
Ettelbréck,ettelbreck,ettelbruck,ettelbruck,ettelbruck,,,lu,6.104169,49.847496,20.061453,300
Etterbeek,etterbeek,,,,,,be,4.389513,50.822187,280.567039,300
Eupen,eupen,,,,,,be,6.03711,50.635157,31.460894,300
Evere,evere,,,,,,be,4.400965,50.86778,164.122905,300
Evergem,evergem,,,,,,be,3.70138,51.107585,32.100559,300
Ezemaal,ezemaal,,,,,,be,4.994217,50.772126,107.938547,300
Familleureux,familleureux,,,,,,be,4.211581,50.519358,59.449721,300
Farciennes,farciennes,,,,,,be,4.55265,50.429148,115.527933,300
Faux,faux,,,,,,be,4.54926,50.621826,32.77095,300
Fexhe-le-Haut-Clocher,fexhe-le-haut-clocher,,,,,,be,5.398453,50.664049,63.136872,300
Flawinne,flawinne,,,,,,be,4.806298,50.456236,110.801676,300
Flemalle-Grande,flemalle-grande,,,,,,be,5.480983,50.605349,89.198324,300
Flemalle-Haute,flemalle-haute,,,,,,be,5.457656,50.595308,123.27095,240
Fleurus,fleurus,,,,,,be,4.543741,50.481927,38.402235,300
Floreffe,floreffe,,,,,,be,4.762368,50.443328,110.801676,300
Florenville,florenville,,,,,,be,5.331115,49.706967,29.231844,300
Florival,florival,,,,,,be,4.653868,50.761501,54.600559,300
Florée,floree,,,,,,be,5.056099,50.357786,0,
Fontaine-Valmont,fontaine-valmont,,,,,,be,4.212785,50.321164,33.346369,300
Forchies,forchies,,,,,,be,4.325384,50.433314,88.363128,300
Forrières,forrieres,,,,,,be,5.276784,50.132759,56.692737,300
Fraipont,fraipont,,,,,,be,5.723665,50.565059,67.829609,300
Frameries,frameries,,,,,,be,3.906586,50.405932,27.128492,300
Franchimont,franchimont,,,,,,be,5.822223,50.525723,31.536313,300
Franière,franiere,,,,,,be,4.733548,50.439543,110.801676,300
Frankfurt am Main Flughafen,frankfurt am main flughafen,francfort-sur-le-main aeroport,frankfurt am main luchthaven,,frankfurt am main airport,,de,8.569853,50.051696,0,
Frankfurt am Main Hbf,frankfurt am main hbf,francfort-sur-le-main hbf,,,,,de,8.6653708,50.1071318,0,
Froyennes,froyennes,,,,,,be,3.354837,50.62989,78.391061,300
Galmaarden,galmaarden,gammerages,,,,,be,3.965726,50.743918,41.374302,300
Gastuche,gastuche,,,,,,be,4.649598,50.736646,54.600559,300
Gavere-Asper,gavere-asper,,,,,,be,3.639732,50.930021,37.360335,300
Gedinne,gedinne,,,,,,be,4.978073,49.984123,27.5,300
Geel,geel,,,,,,be,4.988608,51.168955,74.592179,300
Gembloux,gembloux,,,,,,be,4.691497,50.570489,136.648045,240
